         q                   u
  0.50296064E+03     -0.52182863E-01
  0.50311989E+03     -0.52267997E-01
  0.50327814E+03     -0.52352748E-01
  0.50343539E+03     -0.52437117E-01
  0.50359166E+03     -0.52521104E-01
  0.50374695E+03     -0.52609452E-01
  0.50390125E+03     -0.52697431E-01
  0.50405457E+03     -0.52785029E-01
  0.50420691E+03     -0.52872534E-01
  0.50435828E+03     -0.52962374E-01
  0.50450868E+03     -0.53051822E-01
  0.50465811E+03     -0.53142319E-01
  0.50480658E+03     -0.53232647E-01
  0.50495409E+03     -0.53322599E-01
  0.50510064E+03     -0.53412164E-01
  0.50524624E+03     -0.53501339E-01
  0.50539088E+03     -0.53590122E-01
  0.50553457E+03     -0.53678513E-01
  0.50567732E+03     -0.53766508E-01
