     id                xc                yc                zc                ra                vx                vy                vz     ct
    183   -9.52380952e-02   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    4.14553269e-02    1.78597136e-02    2.83460835e-02     -1
    184   -4.76190476e-02   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    3.09473867e-02    3.00006422e-02    3.57512935e-02     -1
    185   -5.55111512e-17   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.02863222e-02    1.86236266e-02    3.63254375e-02     -1
    186    4.76190476e-02   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.92594333e-03    3.23420161e-02    1.27317779e-02     -1
    187    9.52380952e-02   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.17711496e-02    1.80018824e-02    8.35518495e-03     -1
    188    1.42857143e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    3.69525606e-03    2.90325558e-02    9.32234421e-03     -1
    189    1.90476190e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.54851225e-02    3.14975368e-02    3.05393631e-02     -1
    190    2.38095238e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    3.39698960e-02    3.99685387e-02    3.02332386e-02     -1
    191    3.80952381e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    4.63665256e-02    1.68129615e-02    1.76447430e-02     -1
    192    4.28571429e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    9.03574636e-03    4.77307776e-02    3.50676859e-03     -1
